Date,Adj_eff,P5_eff,P5_sap_draw,P5_actual_draw,P5_seed,Total SAP Draw,Adjusted Draw,Total Cullet %,Melting cost-Rs/ton/Draw,Barrier Boosting (kWh),Capacitive Boosting (kWh),Boosting (kWh),Barrier Boosting Per ton (kWh/ton),Capacitive Boosting Per ton (kWh/ton),FO-Furnace Consumption (MT),FO-Furnace Consumption (kg per MT),LPG -WE/FHs Consumption(kg),Melting Energy -Kcal//Draw of glass,Bottom Front (oC),Throat Riser (oC),LPG WE & FH (Kg /Ton/ draw),Boosting per ton (kWh/ton draw),FO density (Specific Gravity),FO consumption (Liters),FO L/ton,Glass CE-kg,Glass Packing-kg,FURNACE COMBUSTION AIR FLOW,FURNACE GAS FLOW,FURNACE GLASS LEVEL,FURNACE OIL FLOW,FURNACE PRESSURE,WORKING END ZONE 1 TEMPERATURE,WORKING END ZONE 2 TEMPERATURE,WORKING END ZONE 3 TEMPERATURE,LINE P5 ZONE 1 LEFT BOTTOM TEMPERATURE,LINE P5 ZONE 1 LEFT MIDDLE TEMPERATURE,LINE P5 ZONE 1 LEFT TOP TEMPERATURE,LINE P5 ZONE 1 MIDDLE BOTTOM TEMPERATURE,LINE P5 ZONE 1 MIDDLE MIDDLE TEMPERATURE,LINE P5 ZONE 1 MIDDLE TOP TEMPERATURE,LINE P5 ZONE 1 RIGHT BOTTOM TEMPERATURE,LINE P5 ZONE 1 RIGHT MIDDLE TEMPERATURE,LINE P5 ZONE 1 RIGHT TOP TEMPERATURE,CIMANY CHANNEL TEMPERATURE,COMBUSTION AIR MELTING END TEMPERATURE,ELECTRODE HOLDER 1 TEMPERATURE,ELECTRODE HOLDER 2 TEMPERATURE,ELECTRODE HOLDER 3 TEMPERATURE,ELECTRODE HOLDER 4 TEMPERATURE,ELECTRODE HOLDER 5 TEMPERATURE,ELECTRODE HOLDER 6 TEMPERATURE,ELECTRODE HOLDER 7 TEMPERATURE,ELECTRODE HOLDER 8 TEMPERATURE,MELTING END BEHIND FRONT TEMPERATURE,MELTING END BOTTOM BEHIND RIGHT TEMPERATURE,MELTING END BOTTOM MIDDLE TEMPERATURE,MELTING END CROWN BEHIND TEMPERATURE,MELTING END CROWN INFRONT TEMPERATURE,MELTING END CROWN MIDDLE TEMPERATURE,REGENERATOR LEFT BOTTOM TEMPERATURE,REGENERATOR LEFT CROWN TEMPERATURE,REGENERATOR RIGHT BOTTOM TEMPERATURE,REGENERATOR RIGHT CROWN TEMPERATURE,THROAT ON SIDE TEMPERATURE,FOREHEART LINE P5 ZONE 1 BOTTOM TEMPERATURE,FOREHEART LINE P5 ZONE 1 MIDDLE TEMPERATURE,FOREHEART LINE P5 ZONE 1 TOP TEMPERATURE,FOREHEART LINE P5 ZONE 2 TEMPERATURE,FOREHEART LINE P5 ZONE 3 TEMPERATURE,FOREHEART LINE P5 ZONE 4 TEMPERATURE,FOREHEART LINE P5 ZONE 5 TEMPERATURE,PYROMETER WE ZONE 1 TEMPERATURE,PYROMETER WE ZONE 2 TEMPERATURE,PYROMETER WE ZONE 3 TEMPERATURE,THERMOCOUPLE WE ENTRANCE TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 01 CURRENT,CAPACITOR BOOSTING ELCTRODE 01 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 02 CURRENT,CAPACITOR BOOSTING ELCTRODE 02 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 03 CURRENT,CAPACITOR BOOSTING ELCTRODE 03 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 04 CURRENT,CAPACITOR BOOSTING ELCTRODE 04 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 05 CURRENT,CAPACITOR BOOSTING ELCTRODE 05 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 06 CURRENT,CAPACITOR BOOSTING ELCTRODE 06 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 07 CURRENT,CAPACITOR BOOSTING ELCTRODE 07 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 08 CURRENT,CAPACITOR BOOSTING ELCTRODE 08 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 09 CURRENT,CAPACITOR BOOSTING ELCTRODE 09 TEMPERATURE,CAPACITOR BOOSTING ELCTRODE 10 CURRENT,CAPACITOR BOOSTING ELCTRODE 10 TEMPERATURE,CAPACITOR BOOSTING SERVO MOTOR,CAPACITOR BOOSTING TRANSFORMER BM POWER HYST,CAPACITOR BOOSTING TRANSFORMER BM POWER SP,CAPACITOR BOOSTING TRANSFORMER BM POWER SPH,CAPACITOR BOOSTING TRANSFORMER BM POWER SPPROD,CAPACITOR BOOSTING TRANSFORMER BM PRODUCTION,CAPACITOR BOOSTING TRANSFORMER KWH help,CAPACITOR BOOSTING TRANSFORMER KWH memo,CAPACITOR BOOSTING TRANSFORMER KWH presmonth,CAPACITOR BOOSTING TRANSFORMER KWH prvmonth,CAPACITOR BOOSTING TRANSFORMER KWH today,CAPACITOR BOOSTING TRANSFORMER KWH yesterday,CAPACITOR BOOSTING TRANSFORMER L1 L2 Po WORKING END r,CAPACITOR BOOSTING TRANSFORMER L1 L2 Volt,CAPACITOR BOOSTING TRANSFORMER L1 L3 Po WORKING END r,CAPACITOR BOOSTING TRANSFORMER L1 L3 Volt,CAPACITOR BOOSTING TRANSFORMER L1 PE Volt,CAPACITOR BOOSTING TRANSFORMER L1 Tota lCurrent,CAPACITOR BOOSTING TRANSFORMER L1 Total Current Limit,CAPACITOR BOOSTING TRANSFORMER L2 L3 Po WORKING END r,CAPACITOR BOOSTING TRANSFORMER L2 L3 Volt,CAPACITOR BOOSTING TRANSFORMER L2 PE Volt,CAPACITOR BOOSTING TRANSFORMER L2 Total Current,CAPACITOR BOOSTING TRANSFORMER L2 Total Current Limit,CAPACITOR BOOSTING TRANSFORMER L3 PE Volt,CAPACITOR BOOSTING TRANSFORMER L3 Total Current,CAPACITOR BOOSTING TRANSFORMER L3 Total Current Limit,CAPACITOR BOOSTING TRANSFORMER Resistor R,CAPACITOR BOOSTING TRANSFORMER Resistor S,CAPACITOR BOOSTING TRANSFORMER Resistor T,CAPACITOR BOOSTING TRANSFORMER Total Po WORKING END r,ELCTRODE PROT ACTIVE EARTH,Furnace Draw,SFC ( kcal per kg),FO ( Lts),FO (Lts/ Ton),SPV_oil,PVV_oil,QVV_oil,SPRV_oil,PVRV_oil,FLV_oil,FRV_oil,SPV_combustion,PVV_combustion,QVV_combustion,SPRV_combustion,FLV_combustion,FRV_combustion,Air to Fuel Ratio,P5_defect,Density (g/cm3),SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2
16-Dec-21,86.78770036,91.3,56.78,56.8,14,305.99,305.7,30,10393,5989,30410,36399,19.57,99.38,28.644,93.61,5540,1016,1219,1323,18.11,118.95,0.912,31408,103,30,90.8,14953.36135,-0.405268436,-0.026074868,1187.093874,0.352044558,1266.400147,1264.831081,1242.44631,1399.943163,1105.538936,1417.452357,1130.961512,1131.923703,1131.937991,792.8764846,793.0527687,864.833103,490.7885154,13482.48249,226.3732493,181.859944,221.7464986,240.1806723,247.7542017,204.5847339,257.3445378,208.855042,1218.044118,1045.590336,55537,1468.35014,1580.921569,1523.663866,422.0735294,1390.976891,469.0602241,1386.534314,998.6554622,1197.435574,1197.490196,1194.77591,1210.711485,1214.922969,1231.678571,1226.148459,1268.272409,1266.827031,1243.369748,1320.77521,1340.794073,272.9978773,1051.136657,231.5084701,813.8827308,292.6169051,967.7644192,299.2369901,1212.201893,287.5590866,1392.863626,228.7355598,1342.743754,310.2347987,1326.700125,319.6413921,1347.752699,558.7676081,893.9099958,260.8735561,67.80693054,10,250,940,1200,298,0.505930731,16777216,424328.9902,774228,15223.02241,30431.07703,722.9414667,188.2861132,717.2391767,186.3740075,95.49296795,3582.460415,4300,758.5651573,185.866451,117.8645351,4062.310743,4300,102.1374593,4044.987319,4300,49.33213953,45.6433248,48.6979434,1269.583925,6.306441835,310,994,31000,100,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5234,70.16,1.71,0.135,10.09,3.14,13.45,0.81,0.041
17-Dec-21,85.3426893,92,57.2,57.2,22,306.74,306.4,30,10285,5808,30526,36334,18.93,99.52,28.388,92.55,5448,1006,1216,1320,17.76,118.45,0.906,31333,102,49,198.2,15017.13136,-0.405060186,-0.020872875,1193.444481,0.360709468,1266.875509,1265.246836,1234.417165,1346.031785,1106.272467,1456.524371,1131.202366,1131.994477,1131.8292,792.8768316,793.0531105,862.5392912,491.0638889,13536.66875,223.7902778,180.1972222,219.9743056,239.6354167,245.00625,201.3569444,256.9326389,208.55625,1216.243056,1045.670139,43063.80833,1463.376389,1584.249306,1520.954861,428.4236111,1393.88125,463.8722222,1389.020139,998.0388889,1197.823611,1197.764583,1194.61875,1210.552083,1214.796528,1231.534722,1225.435417,1268.588889,1267.115278,1235.315972,1320.124306,1334.665558,273.0531393,1044.268825,231.4696659,806.4244178,291.0650545,960.9515649,298.6400496,1206.469828,287.1026229,1384.268504,228.2704018,1329.906123,314.4340818,1301.396524,318.5245467,1334.217467,557.1122653,877.4940544,260.4390948,67.80693054,10,250,940,1200,298,0.501877587,16777216,454639.1722,774228,15188.38472,30402.85,722.3689274,188.5951488,715.3994988,186.8659336,95.62046672,3546.377075,4300,756.9060941,186.0631749,117.7883397,4015.569944,4300,102.2568479,4018.115439,4300,49.86499208,46.13084926,49.49997191,1267.245634,6.078659484,310,994,31000,100,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5223,70.16,1.71,0.135,10.09,3.14,13.45,0.81,0.041
18-Dec-21,88.30009807,91.9,56.81,56.8,24,306.16,305.9,30,10375,5562,31083,36645,18.17,101.53,28.576,93.34,5676,1014,1212,1320,18.54,119.69,0.916,31197,102,49,123,15005.4045,-0.405107902,-0.026507325,1192.086402,0.358583083,1263.373464,1261.527201,1232.156321,1352.546885,1106.42093,1452.435207,1131.668344,1132.375806,1131.901529,792.87863,793.0523103,860.9400562,491.1645833,13527.36597,225.0229167,180.2291667,220.5340278,239.8166667,244.7458333,202.6493056,255.95,207.8840278,1211.710417,1041.590972,4957.842361,1473.460417,1588.445833,1528.574306,432.4430556,1397.592361,460.3125,1396.085417,993.9166667,1198.138889,1198.060417,1194.710417,1210.654861,1214.861111,1231.639583,1225.445833,1265.129167,1263.48125,1233.145833,1316.306944,1344.307407,271.2160019,1052.751656,238.917824,811.1356269,288.6364316,960.6666327,296.1656036,1203.6611,284.9628667,1386.938576,227.8812231,1335.759468,313.4869305,1318.993136,318.0225239,1350.330746,554.3680058,889.9920433,259.1690784,67.80693054,10,250,940,1200,298,0.510314686,16777216,485420.884,774228,15457.27153,30512.825,737.433212,191.8371915,732.4394931,190.1995564,97.04837001,3584.627381,4300,771.0045889,189.2045716,120.4718854,4041.687161,4300,104.0739776,4028.211797,4300,50.31404324,46.566332,49.7548365,1293.931994,6.041284876,310,994,31000,100,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5228,70.16,1.71,0.135,10.09,3.14,13.45,0.81,0.041
19-Dec-21,81.12080103,91.8,56.95,57,21,309.86,309.6,30,10359,6346,31047,37393,20.48,100.2,28.834,93.05,5386,1012,1214,1322,17.38,120.68,0.916,31478,102,53,156.1,15093.39206,-0.405090902,-0.046457715,1196.575096,0.357243974,1268.275706,1266.884969,1237.552033,1316.552363,1103.191293,1459.577142,1132.70522,1133.245813,1131.869311,792.8759143,793.0497063,857.415984,491.9840278,13605.525,225.8965278,181.0173611,221.6680556,240.3430556,246.0680556,203.9368056,256.7229167,208.5993056,1213.476389,1044.864583,2182.645833,1477.977083,1581.241667,1529.168056,435.6041667,1395.66875,460.8805556,1396.235417,993.575,1198.302083,1198.20625,1194.704167,1210.623611,1214.888194,1231.623611,1226.102083,1269.926389,1268.726389,1238.503472,1321.320833,1358.89355,274.4415499,1064.838122,248.5597504,822.2069525,291.0476938,975.788883,299.015001,1224.780171,288.2638905,1407.832996,229.7837089,1356.581149,308.8148668,1334.430461,319.4003147,1362.386671,559.7784111,898.1493567,261.1079824,67.80693054,10,250,940,1200,298,0.499448054,16777216,516528.8826,774228,15541.45139,31023.81875,736.6655211,191.1630983,731.0325928,189.4253471,96.50935557,3619.431186,4300,772.3706673,188.6917439,119.8615454,4098.83898,4300,103.725791,4087.619358,4300,49.60793226,46.09949625,49.08627529,1293.452402,6.192009061,310,994,31000,100,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.522,70.16,1.71,0.135,10.09,3.14,13.45,0.81,0.041
06-Jan-22,84.57968192,81.1,56.37,56.4,20,308.68,308.1,31,10383,7706,31997,39703,24.96,103.66,28.518,92.39,5212,1013,1221,1321,16.88,128.62,0.918,31065,101,44,105.3,14525.05449,-0.41214762,-0.02976619,1190.601074,0.354761081,1255.596008,1266.710256,1235.322571,1460.266014,1122.585402,1459.573017,1139.60011,1139.651051,1139.035815,792.8750977,793.0482624,857.1272598,500.0548611,13094.26111,229.1375,181.6923611,223.5763889,240.8826389,248.9013889,204.9888889,258.0229167,209.2027778,1220.590972,1043.864583,21694.78403,1474.519444,1576.559028,1529.217361,432.2118056,1385.210417,480.8756944,1383.573611,1009.456944,1198.78125,1198.695139,1195.955556,1210.700694,1214.889583,1231.657639,1225.256944,1257.58125,1268.663889,1236.354861,1318.482639,1334.559062,283.5021181,1045.859053,258.2894474,804.8169055,296.2977417,947.3560474,301.2914674,1203.61328,291.4190277,1385.925045,237.3220505,1343.182148,312.1583158,1322.626513,327.4838458,1350.701681,571.6143439,893.2050571,266.4776249,67.80693054,10,250,940,1200,298,0.483480883,16777216,166479.3,898491,15833.3875,31207.4875,756.2410316,199.5242576,755.1143784,197.9159433,98.57151848,3578.460169,4300,795.564938,197.5645256,127.5848282,4051.728481,4300,109.0941358,4001.650114,4300,52.64588396,49.06552679,51.87896141,1332.011595,7.005027476,309,1013,31065,101,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5178,71.1,1.74,0.135,9.62,3.09,13.39,0.42,0.038
07-Jan-22,88.35278426,83.3,56.19,56.2,7,302.49,299.9,31,10617,6838,30786,37624,22.61,101.78,28.824,95.29,5403,1037,1222,1220,17.86,124.38,0.921,31296,103,59,105.3,14075.99569,-0.409111343,-0.031245054,1169.688908,0.36057246,1256.884003,1267.623647,1235.501455,1460.265676,1123.174378,1459.569314,1139.691013,1139.636044,1139.049054,792.8762798,793.0518464,856.0934067,492.5173611,12689.36667,229.4069444,181.5173611,222.8097222,241.6215278,249.0805556,203.7909722,258.3694444,209.8770833,1222.594444,1046.926389,32769,1478.370139,1577.0375,1533.057639,440.4555556,1387.3375,466.7840278,1387.330556,1011.402778,1199.196528,1199.122222,1196.698611,1210.751389,1214.967361,1231.708333,1225.229167,1258.84375,1269.570833,1236.4625,1320.734722,1316.177181,282.9446339,1028.986226,258.7948494,793.7512025,296.138117,938.0272638,302.2463277,1194.155493,292.9497011,1372.100856,237.376544,1327.124326,312.7878989,1287.960953,324.907891,1325.882523,570.5025085,876.8361776,266.2936457,67.80693054,10,250,940,1200,298,0.505143644,16777216,198109.2111,898491,15535.89236,31927.40625,728.9441898,194.9765142,725.7101929,193.2716043,97.2903645,3518.91116,4300,765.9846064,192.7986109,123.0510227,3987.20542,4300,106.6845581,3954.922595,4300,52.17739008,48.55342323,51.5000468,1282.20911,7.299262159,302,1037,31296,103,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5163,71.1,1.74,0.135,9.62,3.09,13.39,0.42,0.038
08-Jan-22,86.02829878,88.5,56.2,56.2,24,304.3,303.9,31,10269,7214,30150,37364,23.71,99.08,27.96,91.88,5224,1003,1225,1324,17.17,122.79,0.921,30358,100,350,105.3,14047.17179,-0.405373741,-0.048669226,1172.256784,0.365336261,1256.594137,1266.744181,1235.835724,1460.264818,1121.391727,1459.565805,1139.558691,1139.116155,1137.321251,792.8762123,793.0509473,846.3414903,495.8333333,12663.12431,229.1520833,181.0972222,222.9256944,241.1826389,248.7694444,203.9027778,258.0006944,209.5194444,1223.333333,1045.713194,32769,1477.814583,1571.334722,1529.692361,441.6166667,1383.229167,465.0930556,1382.457639,1013.663889,1199.023611,1198.992361,1196.654861,1210.685417,1214.850694,1231.636806,1225.370139,1258.5,1268.747917,1236.777778,1320.172222,1301.15339,283.4727037,1018.220326,259.202595,785.0859244,295.6814234,929.5271509,302.3878712,1185.464491,293.067611,1359.602461,237.3232532,1317.703113,311.8766795,1286.41292,333.5141787,1315.778519,568.3031916,874.4622881,266.9622861,67.80693054,10,250,940,1200,298,0.510404335,16777216,228474.8569,898491,14986.86944,30914.66875,715.9049055,193.1062403,714.1429347,191.4469038,96.14144486,3491.394195,4300,753.2111991,190.9803239,122.3345874,3963.716079,4300,105.5233895,3918.293875,4300,52.12631181,48.46674256,51.36519524,1260.627385,7.222804958,304,1003,30358,100,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5141,71.1,1.74,0.135,9.62,3.09,13.39,0.42,0.038
09-Jan-22,87.64325024,90.8,56.4,56.4,18,308.92,308.9,31,10206,7312,31521,38833,23.67,102.04,28.08,90.9,5314,996,1222,1320,17.2,125.71,0.912,30789,100,34,105.3,14369.65559,-0.417595192,-0.034221119,1184.077125,0.367524966,1257.175649,1268.060659,1237.390442,1460.265233,1120.945799,1459.570758,1139.309854,1138.925011,1137.13032,792.8771151,793.0529378,843.3263952,495.6296039,12953.85685,229.0521195,180.8818624,222.342599,240.913829,248.7060459,204.1000695,257.9548297,209.257123,1223.504517,1044.186935,32769,1478.824183,1570.559416,1531.136206,443.742877,1383.150799,462.9555247,1383.160528,1016.373176,1198.779013,1198.86171,1196.747741,1210.719249,1214.934677,1231.726199,1225.973593,1259.217512,1270.128562,1238.441279,1320.992356,1321.37118,283.4756946,1031.690361,259.2664174,798.583365,295.7375378,948.0718961,301.745032,1209.877212,292.3094727,1387.050632,239.1417642,1343.095292,312.4679003,1309.879146,335.0959971,1339.882858,570.7211346,886.0951026,267.7445278,67.80693054,10,250,940,1200,298,0.511172838,16777216,259202.5504,898491,15499.21404,30217.62196,743.8156918,197.397064,742.4966988,195.6990773,98.29786322,3547.34632,4300,783.3709864,195.1328079,124.8773743,4040.023859,4300,107.9837461,3988.222433,4300,52.39144614,48.61244251,51.58698214,1310.541217,7.250013263,309,996,30789,100,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5145,71.1,1.74,0.135,9.62,3.09,13.39,0.42,0.038
10-Jan-22,87.92698827,91.7,56.3,56.3,20,310.13,306.8,31,10084,6037,30687,36724,19.47,98.95,28.059,90.47,5311,985,1224,1222,17.13,118.41,0.912,30766,99,113,105.3,14647.15082,-0.405114564,-0.033355271,1192.823289,0.367575277,1256.719178,1268.64381,1235.275504,1460.265069,1120.490891,1459.565862,1140.47107,1139.802365,1137.125532,792.8763078,793.0504699,843.6856579,492.9826389,13205.20486,227.3597222,180.3701389,221.7833333,241.6020833,248.2722222,202.4493056,257.7861111,209.3395833,1222.936111,1044.627778,32769,1486.230556,1575.870139,1539.508333,443.6694444,1389.451389,459.0611111,1387.956944,1017.348611,1199.152083,1199.110417,1196.703472,1210.764583,1214.9125,1231.716667,1225.53125,1258.641667,1270.581944,1236.3,1322.2875,1321.885854,284.2127202,1032.024416,260.0219435,799.1371717,296.6755884,946.149209,302.1325142,1207.150204,293.2156643,1382.54445,238.8278843,1334.260866,313.4719787,1290.567932,337.7729517,1331.574318,570.5760527,872.0715173,268.3834883,67.80693054,10,250,940,1200,298,0.509782389,16777216,290689.2833,898491,15630.27917,31374.37917,733.7945087,195.3534914,729.4777307,193.6105321,97.36193108,3525.541732,4300,771.7991222,193.076823,122.6328607,4007.380483,4300,107.5829476,3984.465019,4300,52.0262699,48.32087863,51.40663626,1290.551202,7.214375562,310,985,30766,99,1241.751043,1208.605779,35.65941586,13970.11511,14376.27752,0.473574409,0.495827538,13970.11511,14376.27752,72.54807371,13970.11511,0.473574409,0.495827538,11.89492701,1.55,2.5142,70.87,1.77,0.142,9.88,2.97,13.48,0.39,0.037
